n 50
limit_time_day	1200


	x	y	Visit_time
0	14	47	119
1	41	99	119
2	20	68	100
3	100	73	47
4	19	34	82
5	27	17	30
6	33	59	27
7	69	92	27
8	4	93	65
9	57	4	42
10	53	98	20
11	42	92	79
12	85	97	57
13	65	23	71
14	36	93	15
15	9	7	27
16	97	45	109
17	99	22	106
18	91	44	27
19	2	25	62
20	74	55	93
21	2	94	77
22	74	5	81
23	55	72	36
24	27	42	93
25	93	56	43
26	37	39	33
27	75	32	118
28	96	87	64
29	81	27	66
30	90	93	64
31	43	36	21
32	73	49	86
33	16	78	83
34	63	15	52
35	15	30	93
36	96	25	56
37	83	1	59
38	100	52	82
39	56	18	120
40	49	94	63
41	32	23	89
42	45	51	96
43	87	23	24
44	47	31	77
45	68	94	15
46	61	68	108
47	42	90	29
48	37	92	39
49	15	69	74
50	100	23	38
